timestamp_sec,ego_x,ego_y,ego_z,ego_speed_mps,distance_to_intersection_m,distance_to_pedestrian_m,human_throttle,human_brake,human_steering_rad
902.830,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
902.840,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
902.850,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
902.860,-97.020,-52.451,0.317,0.000,0.790,10.744,0.000,0.000,0.0000
902.870,-97.020,-52.451,0.317,0.000,0.790,10.744,0.040,0.000,0.0000
902.880,-97.020,-52.451,0.317,0.004,0.790,10.744,0.080,0.000,0.0000
902.890,-97.020,-52.451,0.317,0.010,0.790,10.744,0.120,0.000,0.0000
902.900,-97.020,-52.450,0.317,0.018,0.790,10.744,0.160,0.000,0.0000
902.910,-97.020,-52.449,0.316,0.027,0.790,10.744,0.200,0.000,0.0000
902.920,-97.020,-52.447,0.316,0.035,0.790,10.745,0.240,0.000,0.0000
902.930,-97.020,-52.446,0.316,0.041,0.790,10.745,0.280,0.000,0.0000
902.940,-97.020,-52.443,0.315,0.047,0.790,10.745,0.320,0.000,0.0000
902.950,-97.020,-52.440,0.315,0.051,0.790,10.746,0.360,0.000,0.0000
902.960,-97.020,-52.437,0.314,0.054,0.790,10.746,0.400,0.000,0.0000
902.970,-97.020,-52.434,0.314,0.056,0.790,10.747,0.440,0.000,0.0000
902.980,-97.020,-52.430,0.313,0.056,0.790,10.748,0.480,0.000,0.0000
902.990,-97.020,-52.425,0.312,0.056,0.790,10.748,0.520,0.000,0.0000
903.000,-97.020,-52.421,0.312,0.055,0.790,10.749,0.560,0.000,0.0000
903.010,-97.020,-52.415,0.311,0.054,0.790,10.749,0.600,0.000,0.0000
903.020,-97.020,-52.410,0.311,0.051,0.790,10.750,0.640,0.000,0.0000
903.030,-97.020,-52.404,0.310,0.048,0.790,10.750,0.680,0.000,0.0000
903.040,-97.020,-52.397,0.310,0.045,0.790,10.751,0.720,0.000,0.0000
903.050,-97.020,-52.391,0.309,0.041,0.790,10.751,0.760,0.000,0.0000
903.060,-97.020,-52.384,0.309,0.037,0.790,10.751,0.800,0.000,0.0000
903.070,-97.020,-52.376,0.309,0.033,0.790,10.752,0.840,0.000,0.0000
903.080,-97.020,-52.368,0.308,0.028,0.790,10.752,0.880,0.000,0.0000
903.090,-97.020,-52.360,0.308,0.024,0.790,10.752,0.920,0.000,0.0000
903.100,-97.020,-52.351,0.308,0.019,0.790,10.752,0.960,0.000,0.0000
903.110,-97.020,-52.341,0.308,0.014,0.790,10.753,1.000,0.000,0.0000
903.120,-97.020,-52.332,0.308,0.010,0.790,10.753,1.000,0.000,0.0000
903.130,-97.020,-52.322,0.308,0.006,0.790,10.753,1.000,0.000,0.0000
903.140,-97.020,-52.311,0.308,0.002,0.790,10.753,1.000,0.000,0.0000
903.150,-97.020,-52.301,0.308,0.003,0.790,10.753,1.000,0.000,0.0000
903.160,-97.020,-52.289,0.308,0.006,0.790,10.753,1.000,0.000,0.0000
903.170,-97.020,-52.278,0.308,0.009,0.790,10.753,1.000,0.000,0.0000
903.180,-97.020,-52.266,0.308,0.012,0.790,10.752,1.000,0.000,0.0000
903.190,-97.020,-52.253,0.308,0.014,0.790,10.752,1.000,0.000,0.0000
903.200,-97.020,-52.240,0.308,0.016,0.790,10.752,1.000,0.000,0.0000
903.210,-97.020,-52.227,0.308,0.018,0.790,10.752,1.000,0.000,0.0000
903.220,-97.020,-52.213,0.309,0.019,0.790,10.752,1.000,0.000,0.0000
903.230,-97.020,-52.199,0.309,0.020,0.790,10.752,1.000,0.000,0.0000
903.240,-97.020,-52.185,0.309,0.021,0.790,10.751,1.000,0.000,0.0000
903.250,-97.020,-52.170,0.309,0.021,0.790,10.751,1.000,0.000,0.0000
903.260,-97.020,-52.155,0.310,0.021,0.790,10.751,1.000,0.000,0.0000
903.270,-97.020,-52.139,0.310,0.020,0.790,10.751,1.000,0.000,0.0000
903.280,-97.020,-52.123,0.310,0.020,0.790,10.751,1.000,0.000,0.0000
903.290,-97.020,-52.107,0.310,0.019,0.790,10.750,1.000,0.000,0.0000
903.300,-97.020,-52.090,0.310,0.018,0.790,10.750,1.000,0.000,0.0000
903.310,-97.020,-52.073,0.310,0.016,0.790,10.750,1.000,0.000,0.0000
903.320,-97.020,-52.055,0.311,0.015,0.790,10.750,1.000,0.000,0.0000
903.330,-97.020,-52.037,0.311,0.013,0.790,10.750,1.000,0.000,0.0000
903.340,-97.020,-52.019,0.311,0.012,0.790,10.750,1.000,0.000,0.0000
903.350,-97.020,-52.000,0.311,0.010,0.790,10.750,1.000,0.000,0.0000
903.360,-97.020,-51.981,0.311,0.008,0.790,10.749,1.000,0.000,0.0000
903.370,-97.020,-51.961,0.311,0.006,0.790,10.749,1.000,0.000,0.0000
903.380,-97.020,-51.941,0.311,0.005,0.790,10.749,1.000,0.000,0.0000
903.390,-97.020,-51.921,0.311,0.003,0.790,10.749,1.000,0.000,0.0000
903.400,-97.020,-51.900,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
903.410,-97.020,-51.879,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
903.420,-97.020,-51.857,0.311,0.002,0.790,10.749,1.000,0.000,0.0000
903.430,-97.020,-51.835,0.311,0.003,0.790,10.749,1.000,0.000,0.0000
903.440,-97.019,-51.813,0.311,0.004,0.790,10.749,1.000,0.000,0.0000
903.450,-97.019,-51.790,0.311,0.005,0.790,10.749,1.000,0.000,0.0000
903.460,-97.019,-51.767,0.311,0.006,0.790,10.749,1.000,0.000,0.0000
903.470,-97.019,-51.744,0.311,0.007,0.790,10.750,1.000,0.000,0.0000
903.480,-97.019,-51.720,0.311,0.007,0.790,10.750,1.000,0.000,0.0000
903.490,-97.019,-51.695,0.311,0.008,0.790,10.750,1.000,0.000,0.0000
903.500,-97.019,-51.671,0.311,0.008,0.790,10.750,1.000,0.000,0.0000
903.510,-97.019,-51.646,0.311,0.008,0.790,10.750,1.000,0.000,0.0000
903.520,-97.019,-51.620,0.311,0.008,0.790,10.750,1.000,0.000,0.0000
903.530,-97.019,-51.594,0.310,0.008,0.790,10.750,1.000,0.000,0.0000
903.540,-97.019,-51.568,0.310,0.008,0.790,10.750,1.000,0.000,0.0000
903.550,-97.019,-51.541,0.310,0.007,0.790,10.750,1.000,0.000,0.0000
903.560,-97.019,-51.514,0.310,0.007,0.790,10.750,1.000,0.000,0.0000
903.570,-97.019,-51.487,0.310,0.007,0.789,10.750,1.000,0.000,0.0000
903.580,-97.019,-51.459,0.310,0.006,0.789,10.750,1.000,0.000,0.0000
903.590,-97.019,-51.430,0.310,0.006,0.789,10.750,1.000,0.000,0.0000
903.600,-97.019,-51.402,0.310,0.005,0.789,10.750,1.000,0.000,0.0000
903.610,-97.019,-51.373,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.620,-97.019,-51.343,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.630,-97.019,-51.313,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.640,-97.019,-51.283,0.310,0.003,0.789,10.751,1.000,0.000,0.0000
903.650,-97.019,-51.252,0.310,0.003,0.789,10.751,1.000,0.000,0.0000
903.660,-97.019,-51.221,0.310,0.003,0.789,10.751,1.000,0.000,0.0000
903.670,-97.019,-51.190,0.310,0.003,0.789,10.751,1.000,0.000,0.0000
903.680,-97.019,-51.158,0.310,0.003,0.789,10.751,1.000,0.000,0.0000
903.690,-97.019,-51.126,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.700,-97.019,-51.093,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.710,-97.019,-51.060,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.720,-97.019,-51.027,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.730,-97.019,-50.993,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.740,-97.019,-50.958,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.750,-97.019,-50.924,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.760,-97.019,-50.889,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.770,-97.019,-50.853,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.780,-97.019,-50.817,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.790,-97.019,-50.781,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.800,-97.019,-50.745,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.810,-97.019,-50.708,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.820,-97.019,-50.670,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.830,-97.019,-50.632,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.840,-97.019,-50.594,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.850,-97.018,-50.556,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.860,-97.018,-50.516,0.310,0.004,0.789,10.750,1.000,0.000,0.0000
903.870,-97.018,-50.477,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.880,-97.018,-50.437,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.890,-97.018,-50.397,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.900,-97.018,-50.356,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.910,-97.018,-50.315,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.920,-97.018,-50.274,0.310,0.003,0.789,10.750,1.000,0.000,0.0000
903.930,-97.018,-50.232,0.310,0.003,0.788,10.750,1.000,0.000,0.0000
903.940,-97.018,-50.190,0.310,0.003,0.788,10.750,1.000,0.000,0.0000
903.950,-97.018,-50.148,0.310,0.003,0.788,10.750,1.000,0.000,0.0000
903.960,-97.018,-50.105,0.310,0.003,0.788,10.750,1.000,0.000,0.0000
903.970,-97.018,-50.061,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
903.980,-97.018,-50.017,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
903.990,-97.018,-49.973,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.000,-97.018,-49.929,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.010,-97.018,-49.884,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.020,-97.018,-49.838,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.030,-97.018,-49.793,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.040,-97.018,-49.747,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.050,-97.018,-49.700,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.060,-97.018,-49.653,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.070,-97.018,-49.606,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.080,-97.018,-49.558,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.090,-97.018,-49.510,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.100,-97.018,-49.461,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.110,-97.018,-49.412,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.120,-97.018,-49.363,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.130,-97.017,-49.313,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.140,-97.017,-49.263,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.150,-97.017,-49.213,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.160,-97.017,-49.162,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.170,-97.017,-49.110,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.180,-97.017,-49.059,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.190,-97.017,-49.007,0.310,0.004,0.788,10.750,1.000,0.000,0.0000
904.200,-97.017,-48.954,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.210,-97.017,-48.901,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.220,-97.017,-48.848,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.230,-97.017,-48.794,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.240,-97.017,-48.740,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.250,-97.017,-48.686,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.260,-97.017,-48.631,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.270,-97.017,-48.576,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.280,-97.017,-48.520,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.290,-97.017,-48.464,0.310,0.004,0.787,10.750,1.000,0.000,0.0000
904.300,-97.017,-48.407,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.310,-97.017,-48.350,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.320,-97.017,-48.293,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.330,-97.017,-48.236,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.340,-97.017,-48.178,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.350,-97.017,-48.119,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.360,-97.016,-48.060,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.370,-97.016,-48.001,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.380,-97.016,-47.941,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.390,-97.016,-47.881,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.400,-97.016,-47.821,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.410,-97.016,-47.760,0.310,0.005,0.787,10.750,1.000,0.000,0.0000
904.420,-97.016,-47.699,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.430,-97.016,-47.637,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.440,-97.016,-47.575,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.450,-97.016,-47.513,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.460,-97.016,-47.450,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.470,-97.016,-47.387,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.480,-97.016,-47.323,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.490,-97.016,-47.259,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.500,-97.016,-47.195,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.510,-97.016,-47.130,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.520,-97.016,-47.065,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.530,-97.016,-46.999,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.540,-97.016,-46.933,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.550,-97.016,-46.867,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.560,-97.015,-46.800,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.570,-97.015,-46.733,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.580,-97.015,-46.665,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.590,-97.015,-46.597,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.600,-97.015,-46.529,0.310,0.005,0.786,10.750,1.000,0.000,0.0000
904.610,-97.015,-46.460,0.310,0.005,0.785,10.750,1.000,0.000,0.0000
904.620,-97.015,-46.391,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.630,-97.015,-46.321,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.640,-97.015,-46.251,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.650,-97.015,-46.181,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.660,-97.015,-46.110,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.670,-97.015,-46.039,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.680,-97.015,-45.968,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.690,-97.015,-45.896,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.700,-97.015,-45.823,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.710,-97.015,-45.751,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.720,-97.015,-45.678,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.730,-97.015,-45.604,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.740,-97.014,-45.530,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.750,-97.014,-45.456,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.760,-97.014,-45.381,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.770,-97.014,-45.306,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.780,-97.014,-45.230,0.310,0.006,0.785,10.750,1.000,0.000,0.0000
904.790,-97.014,-45.154,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.800,-97.014,-45.078,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.810,-97.014,-45.001,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.820,-97.014,-44.924,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.830,-97.014,-44.847,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.840,-97.014,-44.769,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.850,-97.014,-44.691,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.860,-97.014,-44.612,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.870,-97.014,-44.533,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.880,-97.014,-44.453,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.890,-97.014,-44.374,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.900,-97.013,-44.293,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.910,-97.013,-44.213,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.920,-97.013,-44.132,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.930,-97.013,-44.050,0.310,0.006,0.784,10.750,1.000,0.000,0.0000
904.940,-97.013,-43.968,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
904.950,-97.013,-43.886,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
904.960,-97.013,-43.803,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
904.970,-97.013,-43.720,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
904.980,-97.013,-43.637,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
904.990,-97.013,-43.553,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.000,-97.013,-43.469,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.010,-97.013,-43.384,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.020,-97.013,-43.299,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.030,-97.013,-43.214,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.040,-97.013,-43.128,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.050,-97.012,-43.042,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.060,-97.012,-42.955,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.070,-97.012,-42.868,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.080,-97.012,-42.781,0.310,0.007,0.783,10.750,1.000,0.000,0.0000
905.090,-97.012,-42.693,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.100,-97.012,-42.605,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.110,-97.012,-42.516,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.120,-97.012,-42.427,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.130,-97.012,-42.338,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.140,-97.012,-42.248,0.310,0.007,0.782,10.750,1.000,0.000,0.0000
905.150,-97.012,-42.158,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.160,-97.012,-42.067,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.170,-97.012,-41.976,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.180,-97.012,-41.885,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.190,-97.012,-41.793,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.200,-97.011,-41.701,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.210,-97.011,-41.608,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.220,-97.011,-41.515,0.310,0.007,0.782,10.749,1.000,0.000,0.0000
905.230,-97.011,-41.422,0.310,0.007,0.781,10.749,1.000,0.000,0.0000
905.240,-97.011,-41.328,0.310,0.007,0.781,10.749,1.000,0.000,0.0000
905.250,-97.011,-41.234,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.260,-97.011,-41.139,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.270,-97.011,-41.044,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.280,-97.011,-40.949,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.290,-97.011,-40.853,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.300,-97.011,-40.757,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.310,-97.011,-40.660,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.320,-97.011,-40.564,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.330,-97.010,-40.466,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.340,-97.010,-40.368,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.350,-97.010,-40.270,0.310,0.008,0.781,10.749,1.000,0.000,0.0000
905.360,-97.010,-40.172,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.370,-97.010,-40.073,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.380,-97.010,-39.974,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.390,-97.010,-39.874,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.400,-97.010,-39.774,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.410,-97.010,-39.673,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.420,-97.010,-39.572,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.430,-97.010,-39.471,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.440,-97.010,-39.369,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.450,-97.009,-39.267,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.460,-97.009,-39.165,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.470,-97.009,-39.062,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.480,-97.009,-38.959,0.310,0.008,0.780,10.749,1.000,0.000,0.0000
905.490,-97.009,-38.855,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.500,-97.009,-38.751,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.510,-97.009,-38.646,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.520,-97.009,-38.541,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.530,-97.009,-38.436,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.540,-97.009,-38.331,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.550,-97.009,-38.224,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.560,-97.009,-38.118,0.310,0.008,0.779,10.749,1.000,0.000,0.0000
905.570,-97.008,-38.011,0.310,0.009,0.779,10.749,1.000,0.000,0.0000
905.580,-97.008,-37.904,0.310,0.009,0.779,10.749,1.000,0.000,0.0000
905.590,-97.008,-37.796,0.310,0.009,0.779,10.749,1.000,0.000,0.0000
905.600,-97.008,-37.688,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.610,-97.008,-37.580,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.620,-97.008,-37.471,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.630,-97.008,-37.362,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.640,-97.008,-37.252,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.650,-97.008,-37.142,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.660,-97.008,-37.032,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.670,-97.008,-36.921,0.310,0.009,0.778,10.749,1.000,0.000,0.0000
905.680,-97.008,-36.810,0.310,0.010,0.778,10.749,1.000,0.000,0.0000
905.690,-97.007,-36.698,0.310,0.014,0.778,10.749,1.000,0.000,0.0000
905.700,-97.007,-36.587,0.311,0.020,0.778,10.749,1.000,0.000,0.0000
905.710,-97.007,-36.476,0.311,0.028,0.778,10.748,1.000,0.000,0.0000
905.720,-97.007,-36.365,0.311,0.035,0.777,10.748,1.000,0.000,0.0000
905.730,-97.007,-36.253,0.312,0.042,0.777,10.748,1.000,0.000,0.0000
905.740,-97.007,-36.142,0.312,0.047,0.777,10.747,1.000,0.000,0.0000
905.750,-97.007,-36.031,0.313,0.051,0.777,10.747,1.000,0.000,0.0000
905.760,-97.007,-35.920,0.313,0.054,0.777,10.746,1.000,0.000,0.0000
905.770,-97.007,-35.809,0.314,0.056,0.777,10.746,1.000,0.000,0.0000
905.780,-97.007,-35.697,0.314,0.056,0.777,10.745,1.000,0.000,0.0000
905.790,-97.007,-35.586,0.315,0.056,0.777,10.745,1.000,0.000,0.0000
905.800,-97.006,-35.475,0.315,0.056,0.777,10.744,1.000,0.000,0.0000
905.810,-97.006,-35.364,0.316,0.054,0.777,10.743,1.000,0.000,0.0000
905.820,-97.006,-35.252,0.316,0.052,0.777,10.743,1.000,0.000,0.0000
905.830,-97.006,-35.141,0.317,0.049,0.777,10.742,1.000,0.000,0.0000
905.840,-97.006,-35.030,0.317,0.046,0.777,10.742,1.000,0.000,0.0000
905.850,-97.006,-34.919,0.318,0.042,0.777,10.742,1.000,0.000,0.0000
905.860,-97.006,-34.808,0.318,0.038,0.776,10.741,1.000,0.000,0.0000
905.870,-97.006,-34.696,0.318,0.034,0.776,10.741,1.000,0.000,0.0000
905.880,-97.006,-34.585,0.319,0.030,0.776,10.741,1.000,0.000,0.0000
905.890,-97.006,-34.474,0.319,0.026,0.776,10.740,1.000,0.000,0.0000
905.900,-97.006,-34.363,0.319,0.022,0.776,10.740,1.000,0.000,0.0000
905.910,-97.005,-34.252,0.319,0.017,0.776,10.740,1.000,0.000,0.0000
905.920,-97.005,-34.141,0.319,0.014,0.776,10.740,1.000,0.000,0.0000
905.930,-97.005,-34.030,0.319,0.011,0.776,10.740,1.000,0.000,0.0000
905.940,-97.005,-33.919,0.319,0.009,0.776,10.740,1.000,0.000,0.0000
905.950,-97.005,-33.807,0.319,0.009,0.776,10.740,1.000,0.000,0.0000
905.960,-97.005,-33.696,0.319,0.010,0.776,10.740,1.000,0.000,0.0000
905.970,-97.005,-33.585,0.319,0.012,0.776,10.740,1.000,0.000,0.0000
905.980,-97.005,-33.474,0.319,0.014,0.775,10.740,1.000,0.000,0.0000
905.990,-97.005,-33.363,0.319,0.016,0.775,10.740,1.000,0.000,0.0000
906.000,-97.005,-33.252,0.319,0.018,0.775,10.740,1.000,0.000,0.0000
906.010,-97.005,-33.141,0.319,0.020,0.775,10.740,1.000,0.000,0.0000
906.020,-97.005,-33.030,0.319,0.021,0.775,10.741,1.000,0.000,0.0000
906.030,-97.004,-32.919,0.318,0.022,0.775,10.741,1.000,0.000,0.0000
906.040,-97.004,-32.808,0.318,0.022,0.775,10.741,1.000,0.000,0.0000
906.050,-97.004,-32.697,0.318,0.023,0.775,10.741,1.000,0.000,0.0000
